"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Hydrochlorothiazide"
"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Accelerated Phase"|"Dasatinib"
"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Accelerated Phase"|"Hydrochlorothiazide"
"NCT00124306"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Bladder Diseases"|"Amitriptyline"
"NCT00124306"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Interstitial Cystitis"|"Amitriptyline"
"NCT00127205"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cholecalciferol"
"NCT00127205"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Vinorelbine Ditartrate"
"NCT00131664"|"Canada"|"Canadian Heart Research Centre"|"Type 2 Diabetes Mellitus"|"Atomoxetine"
"NCT00133978"|"Canada"|"Kingston General Hospital"|"Critical Illness"|"Glutamine"
"NCT00133978"|"Canada"|"Kingston General Hospital"|"Hypoperfusion"|"Glutamine"
"NCT00133978"|"Canada"|"Kingston General Hospital"|"Multiple Organ Failure"|"Glutamine"
"NCT00133978"|"Canada"|"Kingston General Hospital"|"Sepsis"|"Glutamine"
"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cetuximab"
"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Melphalan"
"NCT00135278"|"Canada"|"University of British Columbia"|"Spinal Cord Injuries"|"Botox"
"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Asparaginase"
"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Cytarabine"
"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Doxorubicin"
"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Hydrocortisone"
"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Vincristine"
"NCT00141037"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Kidney Diseases"|"Prednisone"
"NCT00141037"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Kidney Transplantation"|"Prednisone"
"NCT00141102"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Celecoxib"
"NCT00141102"|"Canada"|"Pfizer"|"Osteoarthritis"|"Celecoxib"
"NCT00141921"|"Canada"|"Amgen"|"Pediatric Plaque Psoriasis"|"Celecoxib"
"NCT00147641"|"Canada"|"Pfizer"|"Pulmonary Hypertension"|"Tramadol"
"NCT00151398"|"Canada"|"Wyeth"|"Alzheimer Disease"|"Donepezil"
"NCT00151892"|"Canada"|"Shire Pharmaceutical Development"|"Colitis, Ulcerative"|"Mesalazine"
"NCT00152334"|"Canada"|"University of British Columbia"|"Idiopathic Clubfoot (Talipes Equinovarus)"|"Botox"
"NCT00152347"|"Canada"|"University of British Columbia"|"Idiopathic Clubfoot (Talipes Equinovarus)"|"Dexmedetomidine"
"NCT00157014"|"Canada"|"Astellas Pharma Inc"|"Heart Diseases"|"Anastrozole"
"NCT00157014"|"Canada"|"Astellas Pharma Inc"|"Heart Transplantation"|"Anastrozole"
"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Asthma"|"Insulin glargine"
"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Diabetes Mellitus"|"Insulin glargine"
"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Pulmonary Disease, Chronic Obstructive"|"Insulin glargine"
"NCT00157651"|"Canada"|"McMaster University"|"Bleeding"|"Mycophenolate mofetil"
"NCT00157651"|"Canada"|"McMaster University"|"End Stage Renal Disease"|"Mycophenolate mofetil"
"NCT00157651"|"Canada"|"McMaster University"|"Thrombosis"|"Mycophenolate mofetil"
"NCT00160342"|"Canada"|"Solvay Pharmaceuticals"|"Hot Flushes, Menopause, Postmenopause"|"Mesalamine"
"NCT00162123"|"Canada"|"Bristol-Myers Squibb"|"Melanoma"|"Paclitaxel"
"NCT00162916"|"Canada"|"Ontario Neurotrauma Foundation"|"Depression"|"Citalopram"
"NCT00168324"|"Canada"|"Allergan"|"Macular Edema"|"Dexamethasone"
"NCT00168324"|"Canada"|"Allergan"|"Retinal Vein Occlusion"|"Dexamethasone"
"NCT00168454"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"NCT00168454"|"Canada"|"Allergan"|"Urinary Incontinence"|"Botulinum Toxin Type A"
"NCT00174837"|"Canada"|"Sanofi-Aventis"|"Head and Neck Squamous Cell Carcinoma"|"Oxaliplatin"
"NCT00175318"|"Canada"|"University of British Columbia"|"Dental Caries"|"Dobutamine"
"NCT00175409"|"Canada"|"University of British Columbia"|"Pain"|"Insulin glargine"
"NCT00175409"|"Canada"|"University of British Columbia"|"Pain"|"Sorafenib"
"NCT00182455"|"Canada"|"McMaster University"|"Social Phobia"|"Topiramate"
"NCT00182520"|"Canada"|"McMaster University"|"Obsessive Compulsive Disorder"|"Topiramate"
"NCT00182533"|"Canada"|"McMaster University"|"Agoraphobia"|"Sertraline"
"NCT00182533"|"Canada"|"McMaster University"|"Anxiety Disorders"|"Sertraline"
"NCT00182533"|"Canada"|"McMaster University"|"Major Depressive Disorder"|"Sertraline"
"NCT00182533"|"Canada"|"McMaster University"|"Obsessive-Compulsive Disorder"|"Sertraline"
"NCT00182533"|"Canada"|"McMaster University"|"Panic Disorder"|"Sertraline"
"NCT00182533"|"Canada"|"McMaster University"|"Phobia, Social"|"Sertraline"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Atherosclerosis"|"Disulfiram"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Cardiovascular Diseases"|"Disulfiram"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Coronary Disease"|"Disulfiram"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Diabetes Mellitus"|"Disulfiram"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Hypercholesterolemia"|"Disulfiram"
"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Hypertension"|"Disulfiram"
"NCT00186745"|"Canada"|"St. Joseph's Healthcare"|"Pulmonary Embolism"|"GW572016"
"NCT00186745"|"Canada"|"St. Joseph's Healthcare"|"Venous Thrombosis"|"GW572016"
"NCT00188617"|"Canada"|"University Health Network, Toronto"|"Lung Cancer"|"Gefitinib"
"NCT00189839"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"NCT00193882"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Esophagus Cancer"|"Cisplatin"
"NCT00195351"|"Canada"|"Wyeth"|"Appendicitis"|"Everolimus"
"NCT00195351"|"Canada"|"Wyeth"|"Cholecystitis"|"Everolimus"
"NCT00195351"|"Canada"|"Wyeth"|"Cross Infection"|"Everolimus"
"NCT00195351"|"Canada"|"Wyeth"|"Diverticulitis"|"Everolimus"
"NCT00195351"|"Canada"|"Wyeth"|"Peritonitis"|"Everolimus"
"NCT00195663"|"Canada"|"Abbott"|"Early Rheumatoid Arthritis"|"Adalimumab"
"NCT00195702"|"Canada"|"Abbott"|"Rheumatoid Arthritis"|"Adalimumab"
"NCT00195858"|"Canada"|"Ottawa Hospital Research Institute"|"Obesity"|"Adrenaline"
"NCT00200226"|"Canada"|"Memorial University of Newfoundland"|"Endometrial Biopsy"|"Mirtazapine"
"NCT00202228"|"Canada"|"Queen's University"|"AIDS"|"Thiamine"
"NCT00202228"|"Canada"|"Queen's University"|"HIV Infections"|"Thiamine"
"NCT00202228"|"Canada"|"Queen's University"|"Lactic Acidosis"|"Thiamine"
"NCT00202228"|"Canada"|"Queen's University"|"Lipodystrophy"|"Thiamine"
"NCT00203177"|"Canada"|"Teva Pharmaceutical Industries"|"Parkinson's Disease"|"Alprazolam"
"NCT00213239"|"Canada"|"The Hospital for Sick Children"|"Hematologic Diseases"|"Remifentanil"
"NCT00213239"|"Canada"|"The Hospital for Sick Children"|"Neoplasms"|"Remifentanil"
"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"NCT00230594"|"Canada"|"Ferring Pharmaceuticals"|"Primary Nocturnal Enuresis"|"Desloratadine"
"NCT00232180"|"Canada"|"Pfizer"|"Heart Failure"|"Eplerenone"
"NCT00235495"|"Canada"|"University of Miami"|"Acute Ischemic Stroke"|"Sertraline"
"NCT00239356"|"Canada"|"Bristol-Myers Squibb"|"Schizophrenia"|"Aripiprazole"
"NCT00240045"|"Canada"|"University of Alberta"|"Refractory Ascites"|"Midodrine"
"NCT00240045"|"Canada"|"University of Alberta"|"Type 2 Hepatorenal Syndrome"|"Midodrine"
"NCT00240461"|"Canada"|"Capital Health, Canada"|"Respiratory Tract Infection"|"Vigabatrin"
"NCT00241449"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Alefacept"
"NCT00241449"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Tamoxifen"
"NCT00241449"|"Canada"|"AstraZeneca"|"Metastasis"|"Alefacept"
"NCT00241449"|"Canada"|"AstraZeneca"|"Metastasis"|"Tamoxifen"
"NCT00241865"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Lung Diseases"|"Sargramostim"
"NCT00241865"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Pulmonary Disease, Chronic Obstructive"|"Sargramostim"
"NCT00243503"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib"
"NCT00245154"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Oxaliplatin"
"NCT00247273"|"Canada"|"Procter and Gamble"|"Postmenopausal Osteoporosis"|"Risedronate"
"NCT00247897"|"Canada"|"University of British Columbia"|"Skin Bacteria"|"Etoposide"
"NCT00251056"|"Canada"|"Pharmaxis"|"Cystic Fibrosis"|"Mannitol"
"NCT00253903"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"NCT00253903"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"NCT00253968"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"NCT00253968"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"NCT00254488"|"Canada"|"National Institute of Mental Health (NIMH)"|"Bipolar Disorder"|"Nelfinavir"
"NCT00254488"|"Canada"|"National Institute of Mental Health (NIMH)"|"Mania"|"Nelfinavir"
"NCT00256698"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Anastrozole"
"NCT00259519"|"Canada"|"University of Alberta"|"Fetal Membranes, Premature Rupture"|"Propofol"
"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Fallopian Tube Cancer"|"Oxaliplatin"
"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Ovarian Cancer"|"Oxaliplatin"
"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Peritoneal Cavity Cancer"|"Oxaliplatin"
"NCT00263276"|"Canada"|"Bristol-Myers Squibb"|"Type 2 Diabetes"|"Aripiprazole"
"NCT00263276"|"Canada"|"Bristol-Myers Squibb"|"Type 2 Diabetes"|"Dasatinib"
"NCT00264498"|"Canada"|"AstraZeneca"|"Carcinoma, Non-Small-Cell Lung"|"Erlotinib"
"NCT00265070"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Gefitinib"
"NCT00265317"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Erlotinib"
"NCT00265317"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Sunitinib"
"NCT00265941"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Aldesleukin"
"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cytarabine"
"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Aldesleukin"
"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Cytarabine"
"NCT00278889"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Irinotecan"
"NCT00281554"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Prednisone"
"NCT00281697"|"Canada"|"Genentech"|"Metastatic Breast Cancer"|"Paclitaxel"
"NCT00282347"|"Canada"|"Genentech"|"Lupus Nephritis"|"Irinotecan"
"NCT00282347"|"Canada"|"Genentech"|"Lupus Nephritis"|"Paclitaxel"
"NCT00282568"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Escitalopram"
"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Rifampin"
"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Sertraline"
"NCT00282880"|"Canada"|"Brigham and Women's Hospital"|"Dermatomyositis"|"Etanercept"
"NCT00282984"|"Canada"|"Pfizer"|"Smoking Cessation"|"Varenicline"
"NCT00283400"|"Canada"|"Baylor College of Medicine"|"Subarachnoid Hemorrhage"|"Clopidogrel"
"NCT00284518"|"Canada"|"Allergan"|"Benign Prostatic Hyperplasia"|"Botulinum Toxin Type A"
"NCT00287079"|"Canada"|"EMD Serono"|"Clinically Isolated Syndrome"|"Control"
"NCT00288080"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Goserelin"
"NCT00288080"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Prednisolone"
"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Cardiomyopathy"|"Control"
"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Congestive Heart Failure"|"Control"
"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Dyspnea"|"Control"
"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Heart Diseases"|"Control"
"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Pulmonary Edema"|"Control"
"NCT00289640"|"Canada"|"Bristol-Myers Squibb"|"Melanoma"|"Abatacept"
"NCT00289952"|"Canada"|"McGill University Health Center"|"HIV Infections"|"Gemcitabine"
"NCT00289991"|"Canada"|"Pfizer"|"Antifungal Prophylaxis"|"Itraconazole"
"NCT00289991"|"Canada"|"Pfizer"|"Antifungal Prophylaxis"|"Salbutamol"
"NCT00291525"|"Canada"|"Medical Carbon Research Institute, LLC"|"Heart Valve Disease"|"Valsartan"
"NCT00293813"|"Canada"|"Amgen"|"Postmenopausal Osteoporosis"|"Alendronate"
"NCT00295815"|"Canada"|"Eli Lilly and Company"|"Glioblastoma"|"Lomustine"
"NCT00296374"|"Canada"|"AstraZeneca"|"Diabetes Mellitus"|"Atorvastatin"
"NCT00296374"|"Canada"|"AstraZeneca"|"Diabetes Mellitus"|"Rosuvastatin"
"NCT00297115"|"Canada"|"ALTANA Pharma"|"Chronic Obstructive Pulmonary Disease (COPD)"|"Ciclesonide"
"NCT00297232"|"Canada"|"Biogen Idec"|"Multiple Sclerosis, Relapsing-Remitting"|"Natalizumab"
"NCT00298363"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Entecavir"
"NCT00298363"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Tenofovir disoproxil fumarate"
"NCT00298922"|"Canada"|"St. Michael's Hospital, Toronto"|"Cystic Fibrosis"|"Azithromycin"
"NCT00298987"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphocytic, Acute, L2"|"Dasatinib"
"NCT00298987"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Myeloid, Chronic"|"Dasatinib"
"NCT00299039"|"Canada"|"Capital District Health Authority, Canada"|"Breast Diseases"|"Famotidine"
"NCT00299039"|"Canada"|"Capital District Health Authority, Canada"|"Pain"|"Famotidine"
"NCT00300755"|"Canada"|"Wyeth"|"Gastroesophageal Reflux"|"Tirofiban"
"NCT00303563"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Pramipexole"
"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"NCT00304031"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Tamoxifen Citrate"
"NCT00304070"|"Canada"|"National Cancer Institute (NCI)"|"Adrenocortical Carcinoma"|"Cetuximab"
"NCT00304070"|"Canada"|"National Cancer Institute (NCI)"|"Adrenocortical Carcinoma"|"Docetaxel"
"NCT00306592"|"Canada"|"Biogen Idec"|"Multiple Sclerosis, Relapsing-Remitting"|"Natalizumab"
"NCT00308139"|"Canada"|"Amylin Pharmaceuticals, Inc."|"Type 2 Diabetes Mellitus"|"Insulin glargine"
"NCT00308503"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"NCT00308503"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Anastrozole"
"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Exemestane"
"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Filgrastim"
"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Letrozole"
"NCT00312260"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Amitriptyline"
"NCT00312260"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Gabapentin"
"NCT00312377"|"Canada"|"AstraZeneca"|"Lung Cancer"|"Clopidogrel"
"NCT00312377"|"Canada"|"AstraZeneca"|"Lung Cancer"|"Valacyclovir Hydrochloride"
"NCT00312377"|"Canada"|"AstraZeneca"|"Non-Small Cell Lung Cancer"|"Clopidogrel"
"NCT00312377"|"Canada"|"AstraZeneca"|"Non-Small Cell Lung Cancer"|"Valacyclovir Hydrochloride"
"NCT00312975"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Bevacizumab"
"NCT00313170"|"Canada"|"AstraZeneca"|"Advanced Breast Cancer"|"Fulvestrant"
"NCT00313170"|"Canada"|"AstraZeneca"|"Metastatic Breast Cancer"|"Fulvestrant"
"NCT00313300"|"Canada"|"Bristol-Myers Squibb"|"Acute Coronary Syndrome (ACS)"|"Letrozole"
"NCT00313781"|"Canada"|"Pfizer"|"Prostatic Neoplasms"|"Vincristine Sulfate"
"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Chronic Pain"|"Metformin"
"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Fibromyalgia"|"Metformin"
"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Sleep"|"Metformin"
"NCT00313963"|"Canada"|"The Hospital for Sick Children"|"Anemia, Sickle Cell"|"Magnesium"
"NCT00314574"|"Canada"|"Genentech"|"Asthma"|"Efalizumab"
"NCT00314574"|"Canada"|"Genentech"|"Asthma"|"Omalizumab"
"NCT00314639"|"Canada"|"Laval University"|"Schizophrenia and Schizophrenia Spectrum Psychosis"|"Modafinil"
"NCT00315757"|"Canada"|"Human Genome Sciences"|"Multiple Myeloma"|"Bortezomib"
"NCT00316563"|"Canada"|"Alberta Health Services"|"Anorexia"|"Optison"
"NCT00316563"|"Canada"|"Alberta Health Services"|"Cancer"|"Optison"
"NCT00316563"|"Canada"|"Alberta Health Services"|"Olfactory Disorders"|"Optison"
"NCT00316563"|"Canada"|"Alberta Health Services"|"Taste Disorders"|"Optison"
"NCT00316758"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Oxaliplatin"
"NCT00317967"|"Canada"|"University of Calgary"|"Hypertrophic Cardiomyopathy"|"Atorvastatin"
"NCT00318240"|"Canada"|"Lawson Health Research Institute"|"Prostate Cancer"|"Infliximab"
"NCT00321464"|"Canada"|"Amgen"|"Bone Metastases in Subjects With Advanced Breast Cancer"|"Zoledronic acid"
"NCT00322439"|"Canada"|"Amgen"|"Psoriasis"|"Enbrel"
"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Cetuximab"
"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Fulvestrant"
"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Vindesine"
"NCT00324987"|"Canada"|"National Cancer Institute (NCI)"|"Gastrointestinal Stromal Tumor"|"Iloprost"
"NCT00326898"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Sirolimus"
"NCT00326898"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Sulindac"
"NCT00327379"|"Canada"|"Bayer"|"Blood Loss, Surgical"|"Rituximab"
"NCT00327379"|"Canada"|"Bayer"|"Postoperative Hemorrhage"|"Rituximab"
"NCT00327444"|"Canada"|"Sanofi-Aventis"|"Ascites"|"Mitoxantrone"
"NCT00327444"|"Canada"|"Sanofi-Aventis"|"Ovarian Neoplasms"|"Mitoxantrone"
"NCT00327535"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"NCT00327808"|"Canada"|"Topigen Pharmaceuticals"|"Asthma"|"Budesonide"
"NCT00328263"|"Canada"|"Bio-K Plus International Inc."|"Clostridium Infections"|"Palifermin"
"NCT00328263"|"Canada"|"Bio-K Plus International Inc."|"Diarrhea"|"Palifermin"
"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Osteoporosis"|"Goserelin"
"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Osteoporosis"|"Vinorelbine Ditartrate"
"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Goserelin"
"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Vinorelbine Ditartrate"
"NCT00330460"|"Canada"|"Amgen"|"Osteopenia"|"Alendronate"
"NCT00330460"|"Canada"|"Amgen"|"Osteoporosis"|"Alendronate"
"NCT00330759"|"Canada"|"Amgen"|"Bone Metastases in Subjects With Advanced Cancer or Multiple Myeloma"|"Zoledronic acid"
"NCT00332332"|"Canada"|"Amgen"|"Psoriasis"|"Enbrel"
"NCT00333775"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Docetaxel"
"NCT00333866"|"Canada"|"Pfizer"|"Fibromyalgia"|"Pregabalin"
"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Cisplatin"
"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Docetaxel"
"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Ifosfamide"
"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Vinblastine"
"NCT00335738"|"Canada"|"National Cancer Institute (NCI)"|"Retinoblastoma"|"Vinblastine"
"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"NCT00335816"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cetuximab"
"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Cisplatin"
"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Irinotecan Hydrochloride"
"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Melphalan"
"NCT00336024"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Vinblastine"
"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Coronary Disease"|"Infliximab"
"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Myocardial Infarction"|"Infliximab"
"NCT00336830"|"Canada"|"Lawson Health Research Institute"|"Unstable Angina"|"Infliximab"
"NCT00338130"|"Canada"|"AstraZeneca"|"Melanoma"|"Tamoxifen"
"NCT00340704"|"Canada"|"Astellas Pharma Inc"|"Bladder, Neurogenic"|"Tamsulosin"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Back Pain"|"Risedronate"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Back Pain"|"Teriparatide"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Risedronate"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Osteoporosis, Postmenopausal"|"Teriparatide"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Spinal Fracture"|"Risedronate"
"NCT00343252"|"Canada"|"Eli Lilly and Company"|"Spinal Fracture"|"Teriparatide"
"NCT00345839"|"Canada"|"Amgen"|"Chronic Kidney Disease"|"Cinacalcet"
"NCT00345839"|"Canada"|"Amgen"|"Chronic Kidney Disease"|"Pindolol"
"NCT00345839"|"Canada"|"Amgen"|"Secondary Hyperparathyroidism"|"Cinacalcet"
"NCT00345839"|"Canada"|"Amgen"|"Secondary Hyperparathyroidism"|"Pindolol"
"NCT00346034"|"Canada"|"Pfizer"|"Fibromyalgia"|"Pregabalin"
"NCT00346164"|"Canada"|"National Cancer Institute (NCI)"|"Childhood Malignant Fibrous Histiocytoma of Bone"|"Docetaxel"
"NCT00346164"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"NCT00346216"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Celecoxib"
"NCT00346216"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Ibuprofen"
"NCT00346216"|"Canada"|"Pfizer"|"Osteoarthritis"|"Celecoxib"
"NCT00346216"|"Canada"|"Pfizer"|"Osteoarthritis"|"Ibuprofen"
"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Aripiprazole"
"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Olanzapine"
"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Quetiapine"
"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Risperidone"
"NCT00347425"|"Canada"|"Solvay Pharmaceuticals"|"Schizophrenia and Schizoaffective Disorder"|"Ziprasidone"
