"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"242"|"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Rituximab"
"243"|"NCT00115700"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Follicular Lymphoma"|"Vincristine"
"244"|"NCT00115726"|"Canada"|"University of Calgary"|"Congestive Heart Failure"|"Capecitabine"
"245"|"NCT00115726"|"Canada"|"University of Calgary"|"Edema"|"Capecitabine"
"246"|"NCT00115726"|"Canada"|"University of Calgary"|"Hypertension"|"Capecitabine"
"247"|"NCT00115726"|"Canada"|"University of Calgary"|"Hypotension"|"Capecitabine"
"248"|"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Mycophenolate mofetil"
"249"|"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Prednisone"
"250"|"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Flutter"|"Mycophenolate mofetil"
"251"|"NCT00115791"|"Canada"|"Astellas Pharma Inc"|"Atrial Flutter"|"Prednisone"
"252"|"NCT00116805"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Adefovir Dipivoxil"
"253"|"NCT00116805"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Tenofovir disoproxil fumarate"
"254"|"NCT00117676"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Adefovir Dipivoxil"
"255"|"NCT00117676"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"rapamycin"
"256"|"NCT00119717"|"Canada"|"CoAxia"|"Cerebrovascular Accident"|"Control"
"257"|"NCT00123474"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Chronic-Phase"|"Dasatinib"
"258"|"NCT00123474"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Chronic-Phase"|"Hydrochlorothiazide"
"259"|"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Dasatinib"
"260"|"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"|"Hydrochlorothiazide"
"261"|"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Accelerated Phase"|"Dasatinib"
"262"|"NCT00123487"|"Canada"|"Bristol-Myers Squibb"|"Myeloid Leukemia, Chronic, Accelerated Phase"|"Hydrochlorothiazide"
"263"|"NCT00124306"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Bladder Diseases"|"Amitriptyline"
"264"|"NCT00124306"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Interstitial Cystitis"|"Amitriptyline"
"265"|"NCT00127205"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Cholecalciferol"
"266"|"NCT00127205"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Vinorelbine Ditartrate"
"267"|"NCT00131664"|"Canada"|"Canadian Heart Research Centre"|"Type 2 Diabetes Mellitus"|"Atomoxetine"
"268"|"NCT00133978"|"Canada"|"Kingston General Hospital"|"Critical Illness"|"Glutamine"
"269"|"NCT00133978"|"Canada"|"Kingston General Hospital"|"Hypoperfusion"|"Glutamine"
"270"|"NCT00133978"|"Canada"|"Kingston General Hospital"|"Multiple Organ Failure"|"Glutamine"
"271"|"NCT00133978"|"Canada"|"Kingston General Hospital"|"Sepsis"|"Glutamine"
"272"|"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cetuximab"
"273"|"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"274"|"NCT00134030"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Melphalan"
"275"|"NCT00135278"|"Canada"|"University of British Columbia"|"Spinal Cord Injuries"|"Botox"
"276"|"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Asparaginase"
"277"|"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Cytarabine"
"278"|"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Doxorubicin"
"279"|"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Hydrocortisone"
"280"|"NCT00136435"|"Canada"|"Dana-Farber Cancer Institute"|"Acute Lymphoblastic Leukemia"|"Vincristine"
"281"|"NCT00141037"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Kidney Diseases"|"Prednisone"
"282"|"NCT00141037"|"Canada"|"National Institute of Allergy and Infectious Diseases (NIAID)"|"Kidney Transplantation"|"Prednisone"
"283"|"NCT00141102"|"Canada"|"Pfizer"|"Arthritis, Rheumatoid"|"Celecoxib"
"284"|"NCT00141102"|"Canada"|"Pfizer"|"Osteoarthritis"|"Celecoxib"
"285"|"NCT00141921"|"Canada"|"Amgen"|"Pediatric Plaque Psoriasis"|"Celecoxib"
"286"|"NCT00147641"|"Canada"|"Pfizer"|"Pulmonary Hypertension"|"Tramadol"
"287"|"NCT00151398"|"Canada"|"Wyeth"|"Alzheimer Disease"|"Donepezil"
"288"|"NCT00151892"|"Canada"|"Shire Pharmaceutical Development"|"Colitis, Ulcerative"|"Mesalazine"
"289"|"NCT00152334"|"Canada"|"University of British Columbia"|"Idiopathic Clubfoot (Talipes Equinovarus)"|"Botox"
"290"|"NCT00152347"|"Canada"|"University of British Columbia"|"Idiopathic Clubfoot (Talipes Equinovarus)"|"Dexmedetomidine"
"291"|"NCT00157014"|"Canada"|"Astellas Pharma Inc"|"Heart Diseases"|"Anastrozole"
"292"|"NCT00157014"|"Canada"|"Astellas Pharma Inc"|"Heart Transplantation"|"Anastrozole"
"293"|"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Asthma"|"Insulin glargine"
"294"|"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Diabetes Mellitus"|"Insulin glargine"
"295"|"NCT00157339"|"Canada"|"Eli Lilly and Company"|"Pulmonary Disease, Chronic Obstructive"|"Insulin glargine"
"296"|"NCT00157651"|"Canada"|"McMaster University"|"Bleeding"|"Mycophenolate mofetil"
"297"|"NCT00157651"|"Canada"|"McMaster University"|"End Stage Renal Disease"|"Mycophenolate mofetil"
"298"|"NCT00157651"|"Canada"|"McMaster University"|"Thrombosis"|"Mycophenolate mofetil"
"299"|"NCT00160342"|"Canada"|"Solvay Pharmaceuticals"|"Hot Flushes, Menopause, Postmenopause"|"Mesalamine"
"300"|"NCT00162123"|"Canada"|"Bristol-Myers Squibb"|"Melanoma"|"Paclitaxel"
"301"|"NCT00162916"|"Canada"|"Ontario Neurotrauma Foundation"|"Depression"|"Citalopram"
"302"|"NCT00168324"|"Canada"|"Allergan"|"Macular Edema"|"Dexamethasone"
"303"|"NCT00168324"|"Canada"|"Allergan"|"Retinal Vein Occlusion"|"Dexamethasone"
"304"|"NCT00168454"|"Canada"|"Allergan"|"Overactive Bladder"|"Botulinum Toxin Type A"
"305"|"NCT00168454"|"Canada"|"Allergan"|"Urinary Incontinence"|"Botulinum Toxin Type A"
"306"|"NCT00174837"|"Canada"|"Sanofi-Aventis"|"Head and Neck Squamous Cell Carcinoma"|"Oxaliplatin"
"307"|"NCT00175318"|"Canada"|"University of British Columbia"|"Dental Caries"|"Dobutamine"
"308"|"NCT00175409"|"Canada"|"University of British Columbia"|"Pain"|"Insulin glargine"
"309"|"NCT00175409"|"Canada"|"University of British Columbia"|"Pain"|"Sorafenib"
"310"|"NCT00182455"|"Canada"|"McMaster University"|"Social Phobia"|"Topiramate"
"311"|"NCT00182520"|"Canada"|"McMaster University"|"Obsessive Compulsive Disorder"|"Topiramate"
"312"|"NCT00182533"|"Canada"|"McMaster University"|"Agoraphobia"|"Sertraline"
"313"|"NCT00182533"|"Canada"|"McMaster University"|"Anxiety Disorders"|"Sertraline"
"314"|"NCT00182533"|"Canada"|"McMaster University"|"Major Depressive Disorder"|"Sertraline"
"315"|"NCT00182533"|"Canada"|"McMaster University"|"Obsessive-Compulsive Disorder"|"Sertraline"
"316"|"NCT00182533"|"Canada"|"McMaster University"|"Panic Disorder"|"Sertraline"
"317"|"NCT00182533"|"Canada"|"McMaster University"|"Phobia, Social"|"Sertraline"
"318"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Atherosclerosis"|"Disulfiram"
"319"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Cardiovascular Diseases"|"Disulfiram"
"320"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Coronary Disease"|"Disulfiram"
"321"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Diabetes Mellitus"|"Disulfiram"
"322"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Hypercholesterolemia"|"Disulfiram"
"323"|"NCT00182910"|"Canada"|"National Institute on Aging (NIA)"|"Hypertension"|"Disulfiram"
"324"|"NCT00186745"|"Canada"|"St. Joseph's Healthcare"|"Pulmonary Embolism"|"GW572016"
"325"|"NCT00186745"|"Canada"|"St. Joseph's Healthcare"|"Venous Thrombosis"|"GW572016"
"326"|"NCT00188617"|"Canada"|"University Health Network, Toronto"|"Lung Cancer"|"Gefitinib"
"327"|"NCT00189839"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"328"|"NCT00193882"|"Canada"|"Trans-Tasman Radiation Oncology Group (TROG)"|"Esophagus Cancer"|"Cisplatin"
"329"|"NCT00195351"|"Canada"|"Wyeth"|"Appendicitis"|"Everolimus"
"330"|"NCT00195351"|"Canada"|"Wyeth"|"Cholecystitis"|"Everolimus"
"331"|"NCT00195351"|"Canada"|"Wyeth"|"Cross Infection"|"Everolimus"
"332"|"NCT00195351"|"Canada"|"Wyeth"|"Diverticulitis"|"Everolimus"
"333"|"NCT00195351"|"Canada"|"Wyeth"|"Peritonitis"|"Everolimus"
"334"|"NCT00195663"|"Canada"|"Abbott"|"Early Rheumatoid Arthritis"|"Adalimumab"
"335"|"NCT00195702"|"Canada"|"Abbott"|"Rheumatoid Arthritis"|"Adalimumab"
"336"|"NCT00195858"|"Canada"|"Ottawa Hospital Research Institute"|"Obesity"|"Adrenaline"
"337"|"NCT00200226"|"Canada"|"Memorial University of Newfoundland"|"Endometrial Biopsy"|"Mirtazapine"
"338"|"NCT00202228"|"Canada"|"Queen's University"|"AIDS"|"Thiamine"
"339"|"NCT00202228"|"Canada"|"Queen's University"|"HIV Infections"|"Thiamine"
"340"|"NCT00202228"|"Canada"|"Queen's University"|"Lactic Acidosis"|"Thiamine"
"341"|"NCT00202228"|"Canada"|"Queen's University"|"Lipodystrophy"|"Thiamine"
"342"|"NCT00203177"|"Canada"|"Teva Pharmaceutical Industries"|"Parkinson's Disease"|"Alprazolam"
"343"|"NCT00213239"|"Canada"|"The Hospital for Sick Children"|"Hematologic Diseases"|"Remifentanil"
"344"|"NCT00213239"|"Canada"|"The Hospital for Sick Children"|"Neoplasms"|"Remifentanil"
"345"|"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"346"|"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"347"|"NCT00217737"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"348"|"NCT00230594"|"Canada"|"Ferring Pharmaceuticals"|"Primary Nocturnal Enuresis"|"Desloratadine"
"349"|"NCT00232180"|"Canada"|"Pfizer"|"Heart Failure"|"Eplerenone"
"350"|"NCT00235495"|"Canada"|"University of Miami"|"Acute Ischemic Stroke"|"Sertraline"
"351"|"NCT00239356"|"Canada"|"Bristol-Myers Squibb"|"Schizophrenia"|"Aripiprazole"
"352"|"NCT00240045"|"Canada"|"University of Alberta"|"Refractory Ascites"|"Midodrine"
"353"|"NCT00240045"|"Canada"|"University of Alberta"|"Type 2 Hepatorenal Syndrome"|"Midodrine"
"354"|"NCT00240461"|"Canada"|"Capital Health, Canada"|"Respiratory Tract Infection"|"Vigabatrin"
"355"|"NCT00241449"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Alefacept"
"356"|"NCT00241449"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Tamoxifen"
"357"|"NCT00241449"|"Canada"|"AstraZeneca"|"Metastasis"|"Alefacept"
"358"|"NCT00241449"|"Canada"|"AstraZeneca"|"Metastasis"|"Tamoxifen"
"359"|"NCT00241865"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Lung Diseases"|"Sargramostim"
"360"|"NCT00241865"|"Canada"|"National Heart, Lung, and Blood Institute (NHLBI)"|"Pulmonary Disease, Chronic Obstructive"|"Sargramostim"
"361"|"NCT00243503"|"Canada"|"Pfizer"|"Breast Neoplasms"|"Sunitinib"
"362"|"NCT00245154"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Oxaliplatin"
"363"|"NCT00247273"|"Canada"|"Procter and Gamble"|"Postmenopausal Osteoporosis"|"Risedronate"
"364"|"NCT00247897"|"Canada"|"University of British Columbia"|"Skin Bacteria"|"Etoposide"
"365"|"NCT00251056"|"Canada"|"Pharmaxis"|"Cystic Fibrosis"|"Mannitol"
"366"|"NCT00253903"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"367"|"NCT00253903"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"368"|"NCT00253968"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"369"|"NCT00253968"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"370"|"NCT00254488"|"Canada"|"National Institute of Mental Health (NIMH)"|"Bipolar Disorder"|"Nelfinavir"
"371"|"NCT00254488"|"Canada"|"National Institute of Mental Health (NIMH)"|"Mania"|"Nelfinavir"
"372"|"NCT00256698"|"Canada"|"AstraZeneca"|"Breast Cancer"|"Anastrozole"
"373"|"NCT00259519"|"Canada"|"University of Alberta"|"Fetal Membranes, Premature Rupture"|"Propofol"
"374"|"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Fallopian Tube Cancer"|"Oxaliplatin"
"375"|"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Ovarian Cancer"|"Oxaliplatin"
"376"|"NCT00262847"|"Canada"|"National Cancer Institute (NCI)"|"Peritoneal Cavity Cancer"|"Oxaliplatin"
"377"|"NCT00263276"|"Canada"|"Bristol-Myers Squibb"|"Type 2 Diabetes"|"Aripiprazole"
"378"|"NCT00263276"|"Canada"|"Bristol-Myers Squibb"|"Type 2 Diabetes"|"Dasatinib"
"379"|"NCT00264498"|"Canada"|"AstraZeneca"|"Carcinoma, Non-Small-Cell Lung"|"Erlotinib"
"380"|"NCT00265070"|"Canada"|"AstraZeneca"|"Prostate Cancer"|"Gefitinib"
"381"|"NCT00265317"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Erlotinib"
"382"|"NCT00265317"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Sunitinib"
"383"|"NCT00265941"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cetuximab"
"384"|"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Aldesleukin"
"385"|"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Head and Neck Cancer"|"Cytarabine"
"386"|"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Aldesleukin"
"387"|"NCT00274937"|"Canada"|"National Cancer Institute (NCI)"|"Radiation Toxicity"|"Cytarabine"
"388"|"NCT00278889"|"Canada"|"AstraZeneca"|"Colorectal Cancer"|"Irinotecan"
"389"|"NCT00281554"|"Canada"|"Astellas Pharma Inc"|"Atrial Fibrillation"|"Prednisone"
"390"|"NCT00281697"|"Canada"|"Genentech"|"Metastatic Breast Cancer"|"Paclitaxel"
"391"|"NCT00282347"|"Canada"|"Genentech"|"Lupus Nephritis"|"Irinotecan"
"392"|"NCT00282347"|"Canada"|"Genentech"|"Lupus Nephritis"|"Paclitaxel"
"393"|"NCT00282568"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"394"|"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Escitalopram"
"395"|"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Rifampin"
"396"|"NCT00282828"|"Canada"|"National Institute of Mental Health (NIMH)"|"Social Phobia"|"Sertraline"
"397"|"NCT00282880"|"Canada"|"Brigham and Women's Hospital"|"Dermatomyositis"|"Etanercept"
"398"|"NCT00282984"|"Canada"|"Pfizer"|"Smoking Cessation"|"Varenicline"
"399"|"NCT00283400"|"Canada"|"Baylor College of Medicine"|"Subarachnoid Hemorrhage"|"Clopidogrel"
"400"|"NCT00284518"|"Canada"|"Allergan"|"Benign Prostatic Hyperplasia"|"Botulinum Toxin Type A"
"401"|"NCT00287079"|"Canada"|"EMD Serono"|"Clinically Isolated Syndrome"|"Control"
"402"|"NCT00288080"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Goserelin"
"403"|"NCT00288080"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Prednisolone"
"404"|"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Cardiomyopathy"|"Control"
"405"|"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Congestive Heart Failure"|"Control"
"406"|"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Dyspnea"|"Control"
"407"|"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Heart Diseases"|"Control"
"408"|"NCT00289276"|"Canada"|"Medtronic Cardiac Rhythm Disease Management"|"Pulmonary Edema"|"Control"
"409"|"NCT00289640"|"Canada"|"Bristol-Myers Squibb"|"Melanoma"|"Abatacept"
"410"|"NCT00289952"|"Canada"|"McGill University Health Center"|"HIV Infections"|"Gemcitabine"
"411"|"NCT00289991"|"Canada"|"Pfizer"|"Antifungal Prophylaxis"|"Itraconazole"
"412"|"NCT00289991"|"Canada"|"Pfizer"|"Antifungal Prophylaxis"|"Salbutamol"
"413"|"NCT00291525"|"Canada"|"Medical Carbon Research Institute, LLC"|"Heart Valve Disease"|"Valsartan"
"414"|"NCT00293813"|"Canada"|"Amgen"|"Postmenopausal Osteoporosis"|"Alendronate"
"415"|"NCT00295815"|"Canada"|"Eli Lilly and Company"|"Glioblastoma"|"Lomustine"
"416"|"NCT00296374"|"Canada"|"AstraZeneca"|"Diabetes Mellitus"|"Atorvastatin"
"417"|"NCT00296374"|"Canada"|"AstraZeneca"|"Diabetes Mellitus"|"Rosuvastatin"
"418"|"NCT00297115"|"Canada"|"ALTANA Pharma"|"Chronic Obstructive Pulmonary Disease (COPD)"|"Ciclesonide"
"419"|"NCT00297232"|"Canada"|"Biogen Idec"|"Multiple Sclerosis, Relapsing-Remitting"|"Natalizumab"
"420"|"NCT00298363"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Entecavir"
"421"|"NCT00298363"|"Canada"|"Gilead Sciences"|"Chronic Hepatitis B"|"Tenofovir disoproxil fumarate"
"422"|"NCT00298922"|"Canada"|"St. Michael's Hospital, Toronto"|"Cystic Fibrosis"|"Azithromycin"
"423"|"NCT00298987"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Lymphocytic, Acute, L2"|"Dasatinib"
"424"|"NCT00298987"|"Canada"|"Bristol-Myers Squibb"|"Leukemia, Myeloid, Chronic"|"Dasatinib"
"425"|"NCT00299039"|"Canada"|"Capital District Health Authority, Canada"|"Breast Diseases"|"Famotidine"
"426"|"NCT00299039"|"Canada"|"Capital District Health Authority, Canada"|"Pain"|"Famotidine"
"427"|"NCT00300755"|"Canada"|"Wyeth"|"Gastroesophageal Reflux"|"Tirofiban"
"428"|"NCT00303563"|"Canada"|"Hoffmann-La Roche"|"Rheumatoid Arthritis"|"Pramipexole"
"429"|"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Fludarabine phosphate"
"430"|"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Irinotecan Hydrochloride"
"431"|"NCT00303628"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"432"|"NCT00304031"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Tamoxifen Citrate"
"433"|"NCT00304070"|"Canada"|"National Cancer Institute (NCI)"|"Adrenocortical Carcinoma"|"Cetuximab"
"434"|"NCT00304070"|"Canada"|"National Cancer Institute (NCI)"|"Adrenocortical Carcinoma"|"Docetaxel"
"435"|"NCT00306592"|"Canada"|"Biogen Idec"|"Multiple Sclerosis, Relapsing-Remitting"|"Natalizumab"
"436"|"NCT00308139"|"Canada"|"Amylin Pharmaceuticals, Inc."|"Type 2 Diabetes Mellitus"|"Insulin glargine"
"437"|"NCT00308503"|"Canada"|"Sanofi-Aventis"|"Insomnia"|"Metformin"
"438"|"NCT00308503"|"Canada"|"Sanofi-Aventis"|"Sleep Initiation and Maintenance Disorders"|"Metformin"
"439"|"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Anastrozole"
"440"|"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Exemestane"
"441"|"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Filgrastim"
"442"|"NCT00310180"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Letrozole"
"443"|"NCT00312260"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Amitriptyline"
"444"|"NCT00312260"|"Canada"|"The Hospital for Sick Children"|"Pain"|"Gabapentin"
"445"|"NCT00312377"|"Canada"|"AstraZeneca"|"Lung Cancer"|"Clopidogrel"
"446"|"NCT00312377"|"Canada"|"AstraZeneca"|"Lung Cancer"|"Valacyclovir Hydrochloride"
"447"|"NCT00312377"|"Canada"|"AstraZeneca"|"Non-Small Cell Lung Cancer"|"Clopidogrel"
"448"|"NCT00312377"|"Canada"|"AstraZeneca"|"Non-Small Cell Lung Cancer"|"Valacyclovir Hydrochloride"
"449"|"NCT00312975"|"Canada"|"Pfizer"|"Carcinoma, Non-Small-Cell Lung"|"Bevacizumab"
"450"|"NCT00313170"|"Canada"|"AstraZeneca"|"Advanced Breast Cancer"|"Fulvestrant"
"451"|"NCT00313170"|"Canada"|"AstraZeneca"|"Metastatic Breast Cancer"|"Fulvestrant"
"452"|"NCT00313300"|"Canada"|"Bristol-Myers Squibb"|"Acute Coronary Syndrome (ACS)"|"Letrozole"
"453"|"NCT00313781"|"Canada"|"Pfizer"|"Prostatic Neoplasms"|"Vincristine Sulfate"
"454"|"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Chronic Pain"|"Metformin"
"455"|"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Fibromyalgia"|"Metformin"
"456"|"NCT00313885"|"Canada"|"Sanofi-Aventis"|"Sleep"|"Metformin"
"457"|"NCT00313963"|"Canada"|"The Hospital for Sick Children"|"Anemia, Sickle Cell"|"Magnesium"
"458"|"NCT00314574"|"Canada"|"Genentech"|"Asthma"|"Efalizumab"
"459"|"NCT00314574"|"Canada"|"Genentech"|"Asthma"|"Omalizumab"
"460"|"NCT00314639"|"Canada"|"Laval University"|"Schizophrenia and Schizophrenia Spectrum Psychosis"|"Modafinil"
"461"|"NCT00315757"|"Canada"|"Human Genome Sciences"|"Multiple Myeloma"|"Bortezomib"
"462"|"NCT00316563"|"Canada"|"Alberta Health Services"|"Anorexia"|"Optison"
"463"|"NCT00316563"|"Canada"|"Alberta Health Services"|"Cancer"|"Optison"
"464"|"NCT00316563"|"Canada"|"Alberta Health Services"|"Olfactory Disorders"|"Optison"
"465"|"NCT00316563"|"Canada"|"Alberta Health Services"|"Taste Disorders"|"Optison"
"466"|"NCT00316758"|"Canada"|"Hoffmann-La Roche"|"Diabetes Mellitus, Type 2"|"Oxaliplatin"
"467"|"NCT00317967"|"Canada"|"University of Calgary"|"Hypertrophic Cardiomyopathy"|"Atorvastatin"
"468"|"NCT00318240"|"Canada"|"Lawson Health Research Institute"|"Prostate Cancer"|"Infliximab"
"469"|"NCT00321464"|"Canada"|"Amgen"|"Bone Metastases in Subjects With Advanced Breast Cancer"|"Zoledronic acid"
"470"|"NCT00322439"|"Canada"|"Amgen"|"Psoriasis"|"Enbrel"
"471"|"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Cetuximab"
"472"|"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Fulvestrant"
"473"|"NCT00324805"|"Canada"|"National Cancer Institute (NCI)"|"Lung Cancer"|"Vindesine"
"474"|"NCT00324987"|"Canada"|"National Cancer Institute (NCI)"|"Gastrointestinal Stromal Tumor"|"Iloprost"
"475"|"NCT00326898"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Sirolimus"
"476"|"NCT00326898"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Sulindac"
"477"|"NCT00327379"|"Canada"|"Bayer"|"Blood Loss, Surgical"|"Rituximab"
"478"|"NCT00327379"|"Canada"|"Bayer"|"Postoperative Hemorrhage"|"Rituximab"
"479"|"NCT00327444"|"Canada"|"Sanofi-Aventis"|"Ascites"|"Mitoxantrone"
"480"|"NCT00327444"|"Canada"|"Sanofi-Aventis"|"Ovarian Neoplasms"|"Mitoxantrone"
"481"|"NCT00327535"|"Canada"|"Hoffmann-La Roche"|"Anemia"|"Darbepoetin alfa"
"482"|"NCT00327808"|"Canada"|"Topigen Pharmaceuticals"|"Asthma"|"Budesonide"
"483"|"NCT00328263"|"Canada"|"Bio-K Plus International Inc."|"Clostridium Infections"|"Palifermin"
"484"|"NCT00328263"|"Canada"|"Bio-K Plus International Inc."|"Diarrhea"|"Palifermin"
"485"|"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Osteoporosis"|"Goserelin"
"486"|"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Osteoporosis"|"Vinorelbine Ditartrate"
"487"|"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Goserelin"
"488"|"NCT00329797"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Vinorelbine Ditartrate"
"489"|"NCT00330460"|"Canada"|"Amgen"|"Osteopenia"|"Alendronate"
"490"|"NCT00330460"|"Canada"|"Amgen"|"Osteoporosis"|"Alendronate"
"491"|"NCT00330759"|"Canada"|"Amgen"|"Bone Metastases in Subjects With Advanced Cancer or Multiple Myeloma"|"Zoledronic acid"
"492"|"NCT00332332"|"Canada"|"Amgen"|"Psoriasis"|"Enbrel"
"493"|"NCT00333775"|"Canada"|"Hoffmann-La Roche"|"Breast Cancer"|"Docetaxel"
"494"|"NCT00333866"|"Canada"|"Pfizer"|"Fibromyalgia"|"Pregabalin"
"495"|"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Cisplatin"
"496"|"NCT00335556"|"Canada"|"National Cancer Institute (NCI)"|"Kidney Cancer"|"Docetaxel"
